                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4781,                  4.077,                 3.2975,                0.43757,                0.09671,                  0.071,                0.04074,                  1.751,                 1.6055,                 2.1729,             3.7326e-05,             3.7326e-05,             3.7326e-05
                      2,                 1.4783,                 1.4456,                  1.656,                0.51566,                0.31088,                0.27643,                0.18225,                 1.4649,                 1.1583,                 1.8342,             7.0964e-05,             7.0964e-05,             7.0964e-05
                      3,                 1.0655,                 0.9688,                 1.2895,                0.65313,                0.37383,                0.40751,                0.28091,                 1.3658,                 1.1131,                 1.7733,             0.00010091,             0.00010091,             0.00010091
                      4,                0.89845,                0.79285,                 1.1707,                0.62436,                0.45973,                0.49062,                0.34315,                 1.3314,                 1.0811,                  1.746,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      5,                0.81004,                0.69795,                 1.1112,                0.64164,                0.52411,                0.54811,                0.38416,                 1.3348,                 1.0585,                 1.7434,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      6,                0.75167,                0.63698,                 1.0739,                0.68558,                0.54736,                 0.5789,                0.40808,                 1.3228,                 1.0581,                 1.7424,             9.5368e-05,             9.5368e-05,             9.5368e-05
                      7,                0.70804,                0.59192,                 1.0463,                0.69961,                0.56371,                0.60381,                0.43042,                 1.3188,                 1.0521,                 1.7407,              8.428e-05,              8.428e-05,              8.428e-05
                      8,                0.67807,                0.56147,                 1.0275,                0.69695,                0.57421,                 0.6198,                0.44462,                 1.3169,                 1.0362,                 1.7495,             7.8736e-05,             7.8736e-05,             7.8736e-05
                      9,                0.65335,                 0.5374,                  1.012,                 0.7034,                0.59296,                0.63435,                0.45908,                 1.2978,                 1.0277,                 1.7327,             7.3192e-05,             7.3192e-05,             7.3192e-05
                     10,                0.63289,                0.51762,                0.99997,                 0.7518,                 0.5932,                0.65015,                 0.4736,                 1.2948,                 1.0142,                 1.7225,             6.7648e-05,             6.7648e-05,             6.7648e-05
                     11,                 0.6169,                0.50183,                0.99041,                0.76217,                0.60557,                0.65969,                0.47965,                 1.2893,                0.99679,                  1.733,             6.2104e-05,             6.2104e-05,             6.2104e-05
